pos_source_id,external_id,occurred_at,product_alias,quantity_liters,unit_price,total_amount,payment_method,customer_phone,pump_id,attendant
lane_1,TX-20260907-0001,2026-09-07T08:14:22,HSD,12.500,275.50,3443.75,CASH,,P1,Ali
lane_1,TX-20260907-0002,2026-09-07T08:27:05,Hi-Speed Diesel,8.200,275.50,2259.10,CARD,+923001234567,P1,Ali
lane_2,TX-20260907-0003,2026-09-07T08:31:48,PETROL_92,15.000,250.30,3754.50,CASH,,P2,Bilal
lane_2,TX-20260907-0004,2026-09-07T09:02:11,P-92,22.000,250.30,5506.60,CREDIT,+923009876543,P2,Bilal
lane_1,TX-20260907-0005,2026-09-07T09:15:33,DIESEL,18.750,275.50,5165.63,CASH,,P3,Ali
lane_3,TX-20260907-0006,2026-09-07T09:42:09,PETROL_95,10.500,278.40,2923.20,MOBILE_WALLET,,P4,Choudhry
lane_3,TX-20260907-0007,2026-09-07T10:11:57,Diesel,7.300,275.50,2011.15,CARD,,P4,Choudhry
lane_2,TX-20260907-0008,2026-09-07T10:28:14,PMG-92,11.800,250.30,2953.54,CASH,,P2,Bilal
lane_1,TX-20260907-0009,2026-09-07T10:55:42,HSD,25.000,275.50,6887.50,CREDIT,+923331234567,P1,Ali
lane_3,TX-20260907-0010,2026-09-07T11:14:30,PETROL_95,14.250,278.40,3967.20,CASH,,P4,Choudhry
